mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,8,0.009079588577151299,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,9,0.01130795106291771,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,10,0.012427874840795994,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,3,11,0.011386888101696968,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,0,0.011398282833397388,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,1,0.012664387002587318,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,2,0.012123661115765572,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,3,0.01312841847538948,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,4,0.009824823588132858,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,5,0.01424932200461626,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,4,6,0.013264721259474754,0.0,9411.7802734375
